name,competitor_price,source
Bluetooth Speaker,35.99,Amazon
Bluetooth Speaker,33.99,BestBuy
Bluetooth Speaker,37.49,Walmart
Bluetooth Speaker,37.49,IKEA
XL Twin Sheet Set,27.49,Target
XL Twin Sheet Set,29.99,Walmart
Laptop Stand,42.00,BestBuy
Laptop Stand,44.00,Amazon
Laptop Stand,41.50,Target
Shower Caddy,11.99,Walmart
Organic Snacks Pack,18.99,Whole Foods
Organic Snacks Pack,17.99,Amazon
Notebook Set,9.49,Target
Vitamin C Supplements,15.49,Whole Foods
Fleece Blanket,17.99,Target
Portable Phone Charger,25.99,BestBuy
Portable Phone Charger,24.99,Amazon
Wireless Mouse,19.49,Amazon
Wireless Mouse,18.99,BestBuy
Stainless Steel Water Bottle,15.99,REI
Memory Foam Pillow,29.99,Bed Bath & Beyond
Eco-friendly Tote Bag,9.99,Etsy
Desk Organizer,12.99,IKEA
Smartwatch,120.00,BestBuy
Smartwatch,115.00,Amazon
Yoga Mat,24.99,Walmart
Coffee Maker,55.00,Target
Coffee Maker,52.00,BestBuy
Coffee Maker,50.00,Amazon